Ejecucion;Tiempo
1;

     3485 

2;

     2946 

3;

     2545 

4;

     2559 

5;

     2851 

6;

     2843 

7;

     2511 

8;

     2999 

9;

     2720 

10;

     2662 

11;

     2505 

12;

     4278 

13;

     3338 

14;

     2531 

15;

     2856 

16;

     2895 

17;

     2582 

18;

     2724 

19;

     2763 

20;

     2928 

21;

     2572 

22;

     2768 

23;

     2541 

24;

     4196 

25;

     2502 

26;

     3004 

27;

     2695 

28;

     4239 

29;

     3048 

30;

     2923 

