Ejecucion;Tiempo
1;    22810 
2;    23262 
3;    22634 
4;    23230 
5;    23813 
6;    22196 
7;    23522 
8;    23108 
9;    22242 
10;    22648 
11;    22540 
12;    22950 
13;    22820 
14;    22460 
15;    23514 
16;    22671 
17;    24290 
18;    22858 
19;    26937 
20;    21556 
21;    22609 
22;    21942 
23;    22814 
24;    22068 
25;    22407 
26;    22296 
27;    22917 
28;    21742 
29;    23385 
30;    22839 
