Ejecucion;Tiempo
1;    90009 
2;    89590 
3;    85981 
4;    85100 
5;    84228 
6;    85490 
7;    85143 
8;    85654 
9;    88312 
10;    90610 
11;    88208 
12;    92079 
13;    88478 
14;    85400 
15;    83806 
16;    84424 
17;    84419 
18;    83770 
19;    84979 
20;    91108 
21;    87287 
22;    84997 
23;    84929 
24;    88414 
25;    91703 
26;    85415 
27;    85822 
28;    85969 
29;    86451 
30;    85393 
