Ejecucion;Tiempo
1;

    10204 

2;

    15738 

3;

    10004 

4;

     9286 

5;

     9183 

6;

     8656 

7;

     9241 

8;

     8810 

9;

     8499 

10;

     9353 

11;

     9141 

12;

     8416 

13;

     8678 

14;

     8722 

15;

     9294 

16;

     9147 

17;

    11543 

18;

     8661 

19;

     8690 

20;

     9550 

21;

     8994 

22;

     8754 

23;

     8652 

24;

     8455 

25;

     8399 

26;

     8538 

27;

     9038 

28;

    11889 

29;

     8988 

30;

     8577 

