Ejecucion;Tiempo
1;    25303 
2;    22985 
3;    24161 
4;    25350 
5;    24204 
6;    23182 
7;    23735 
8;    24957 
9;    22611 
10;    25871 
11;    22743 
12;    23096 
13;    23154 
14;    22461 
15;    23015 
16;    24060 
17;    23859 
18;    25226 
19;    23205 
20;    23242 
21;    22599 
22;    24049 
23;    23110 
24;    22622 
25;    23038 
26;    24565 
27;    23187 
28;    21723 
29;    22017 
30;    22562 
