Ejecucion;Tiempo
1;    51350 
2;    43652 
3;    42129 
4;    45642 
5;    45068 
6;    42328 
7;    43184 
8;    42668 
9;    44548 
10;    43495 
11;    47153 
12;    47157 
13;    45230 
14;    41943 
15;    44516 
16;    44070 
17;    43720 
18;    44014 
19;    45372 
20;    43849 
21;    43765 
22;    44600 
23;    45222 
24;    44412 
25;    43972 
26;    46318 
27;    44510 
28;    44516 
29;    46570 
30;    46008 
