Ejecucion;Tiempo
1;

    16586 

2;

    17294 

3;

    16642 

4;

    17564 

5;

    16769 

6;

    17291 

7;

    16633 

8;

    17702 

9;

    20238 

10;

    16817 

11;

    19158 

12;

    17727 

13;

    17113 

14;

    16743 

15;

    16834 

16;

    17382 

17;

    17223 

18;

    17874 

19;

    17026 

20;

    16879 

21;

    17038 

22;

    17733 

23;

    16709 

24;

    17161 

25;

    17321 

26;

    18172 

27;

    18277 

28;

    19202 

29;

    17257 

30;

    17913 

