Ejecucion;Tiempo
1;     8139 
2;     7847 
3;     8262 
4;     8052 
5;     7570 
6;     7810 
7;     7628 
8;     7599 
9;     9928 
10;     7385 
11;     7496 
12;     8557 
13;     7589 
14;     8660 
15;     7678 
16;     7553 
17;     8061 
18;     7794 
19;     7927 
20;     8018 
21;     7174 
22;     8252 
23;     7880 
24;    10196 
25;     7458 
26;     8527 
27;     7214 
28;     7808 
29;     7975 
30;    11973 
