Ejecucion;Tiempo
1;    16216 
2;    13896 
3;    15113 
4;    13038 
5;    13732 
6;    13760 
7;    14201 
8;    12537 
9;    12786 
10;    12824 
11;    12612 
12;    13707 
13;    13346 
14;    12732 
15;    13854 
16;    13056 
17;    13372 
18;    13398 
19;    13264 
20;    14535 
21;    14180 
22;    15562 
23;    24898 
24;    13349 
25;    14634 
26;    14024 
27;    14828 
28;    13568 
29;    13271 
30;    13431 
