Ejecucion;Tiempo
1;

     2142 

2;

     2359 

3;

     2742 

4;

     2411 

5;

     2326 

6;

     2569 

7;

     2306 

8;

     9787 

9;

     2237 

10;

     2628 

11;

     1630 

12;

     2636 

13;

     2312 

14;

     1666 

15;

     1679 

16;

     1439 

17;

     2303 

18;

     2203 

19;

     2198 

20;

     1776 

21;

     2308 

22;

     2404 

23;

     1504 

24;

     1649 

25;

     1586 

26;

     1410 

27;

     2377 

28;

     2349 

29;

     1937 

30;

     2261 

