Ejecucion;Tiempo
1;   114981 
2;   109160 
3;   104971 
4;   104889 
5;   103828 
6;   100736 
7;    96441 
8;    93670 
9;    91338 
10;    90303 
11;    88437 
12;    86647 
13;   105769 
14;    84267 
15;    83392 
16;    86461 
17;    84501 
18;    87169 
19;    88616 
20;    85890 
21;    83677 
22;    83677 
23;    84065 
24;    84051 
25;    86239 
26;    86323 
27;    85338 
28;    83948 
29;    84066 
30;    85523 
