Ejecucion;Tiempo
1;

     9124 

2;

     9103 

3;

     8906 

4;

     7820 

5;

     5949 

6;

     6689 

7;

     7613 

8;

     8347 

9;

     7041 

10;

     7084 

11;

     7560 

12;

     8456 

13;

     6117 

14;

     8764 

15;

     8774 

16;

     8947 

17;

     4500 

18;

     8672 

19;

     8919 

20;

     8862 

21;

     4808 

22;

     9024 

23;

     5647 

24;

     4822 

25;

     5080 

26;

     8952 

27;

     6728 

28;

     4726 

29;

     5928 

30;

     7404 

