Ejecucion;Tiempo
1;    10813 
2;    10291 
3;    10361 
4;    10046 
5;     9448 
6;    10614 
7;    10008 
8;     9817 
9;     9335 
10;     9906 
11;     9981 
12;     9793 
13;    10023 
14;     9857 
15;    10574 
16;    10217 
17;    10164 
18;     9522 
19;     9615 
20;    10286 
21;     9475 
22;     9490 
23;     9915 
24;     9897 
25;    10015 
26;     9510 
27;    10038 
28;     9160 
29;     9839 
30;     9831 
